backend,variant,split,question_boost,section_boost,hit_rate_at_5,mrr,question_count
keyword,baseline,tuning,2.0,0.5,0.9650205761316872,0.8720164609053498,486
keyword,candidate,tuning,1.0,0.5,0.9650205761316872,0.8720164609053498,486
keyword,candidate,tuning,1.5,0.5,0.9650205761316872,0.8720164609053498,486
keyword,candidate,tuning,2.5,0.5,0.9650205761316872,0.8720164609053498,486
keyword,candidate,tuning,3.0,0.5,0.9650205761316872,0.8720164609053498,486
keyword,candidate,tuning,2.0,0.0,0.9567901234567902,0.875034293552812,486
keyword,candidate,tuning,2.0,1.0,0.9650205761316872,0.8720164609053498,486
keyword,candidate,tuning,2.5,1.0,0.9650205761316872,0.8720164609053498,486
keyword,baseline,holdout,2.0,0.5,0.9712918660287081,0.856060606060606,209
keyword,selected_candidate,holdout,2.0,0.5,0.9712918660287081,0.856060606060606,209
