question,document,split
What’s the difference between the wrong GCS upload fields like bucket and name and the actual field Kestra expects?,93a3e8b98c,tuning
What’s the safest way to make sure generated Kestra YAML matches the plugin version I’m using?,93a3e8b98c,tuning
Why would a normal AI chatbot give me Kestra YAML fields that look right but actually aren’t valid for my version?,93a3e8b98c,tuning
How do I check whether the properties in AI-generated Kestra plugin YAML are the real ones before I run the flow?,93a3e8b98c,tuning
"In the BigQuery load example, why is destinationTable correct instead of separate project, dataset, and table fields?",93a3e8b98c,holdout
Is there a way to stop my notebook from re-requesting embeddings or model outputs every time I rerun it?,8e21752415,tuning
"Why do I keep getting 429 errors when I run the notebook over a lot of files, and what should I change first?",8e21752415,tuning
How can I make my OpenAI calls less likely to fail because of rate limits in a loop or thread pool?,8e21752415,tuning
"If I’m using a free or low-cost account, what settings or provider choices can help me stay within the limits?",8e21752415,tuning
What’s the best way to handle repeated API requests in one batch instead of calling the model one item at a time?,8e21752415,holdout
"When computing the similarity in Q2, should I embed the page content field, the filename, or the whole dictionary?",eaa17a9dc6,tuning
Could using the wrong embedding model be the reason my cosine similarity value is different from the options?,eaa17a9dc6,tuning
"For Homework 2, do I need to use the sentence-transformers library, or should I use the Embedder from embedder.py instead?",eaa17a9dc6,tuning
"If my cosine similarity is a little different after using the correct setup, should I choose the closest answer choice?",eaa17a9dc6,tuning
Why is my Module 2 homework cosine similarity result not matching any of the multiple-choice answers?,eaa17a9dc6,holdout
When would it make sense to use an orchestrator in the capstone project instead of a simple script?,d4f7c08ea1,tuning
"For the capstone, is a regular Python script enough for the ingestion pipeline, or do I have to use something like Airflow or Mage?",d4f7c08ea1,tuning
"Should I add an orchestration tool to my capstone just to improve my score, even if my project doesn't really need it?",d4f7c08ea1,tuning
"If I build the data ingestion in a Jupyter notebook instead of a script, how does that affect the points for the ingestion pipeline part?",d4f7c08ea1,tuning
Does a notebook that does the same ingestion and indexing steps count the same as a Python script for the ingestion pipeline criterion?,d4f7c08ea1,holdout
How can I make the vectors in one DataFrame column unit length using pandas?,5039707c1a,tuning
How do I create a new column with normalized versions of the vectors from an existing column?,5039707c1a,tuning
What NumPy and pandas code would I use to divide each vector by its length in a DataFrame column?,5039707c1a,tuning
Can I use an apply function to rescale every vector in a DataFrame column by its norm?,5039707c1a,tuning
What’s a simple way to normalize each vector stored in a pandas Series?,5039707c1a,holdout
Can I still use the older chat.completions interface for a class project if the provider doesn't support the Responses API well?,9e7b3f0c25,tuning
"If I'm using Mistral or Groq instead of OpenAI, what should I read from the response object after calling the model?",9e7b3f0c25,tuning
What parts of the OpenAI Responses API are specific to OpenAI and won't work the same way with other providers?,9e7b3f0c25,tuning
Why am I getting an AttributeError about 'output' when I try to use the Responses API with a model from a different provider?,9e7b3f0c25,tuning
Do I need to change the tools definition when switching from OpenAI to another model provider?,9e7b3f0c25,holdout
How do I make sure I get the full reproducibility points for the data part of the project?,2cf500aae6,tuning
Can I build the capstone with data from a file I already have instead of using a live API?,2cf500aae6,tuning
What do I need to do so reviewers can reproduce my capstone knowledge base?,2cf500aae6,tuning
"If I create my own dataset for the project, will that be accepted?",2cf500aae6,tuning
Are there specific ingestion or reproducibility rules I should follow for the capstone project?,2cf500aae6,holdout
"If I already loaded data into a DuckDB database file, how do I make sure dlt points to that file instead of creating a new one?",8ca99429d0,tuning
"Can I use a custom DuckDB file name to avoid the catalog/schema naming conflict, and how would I set that up?",8ca99429d0,tuning
What’s the safest way to name my dlt pipeline and dataset when using DuckDB so this error doesn’t happen?,8ca99429d0,tuning
What should I change in my dlt setup so DuckDB can tell the catalog and schema apart?,8ca99429d0,tuning
Why does DuckDB complain about an ambiguous reference when my dlt pipeline uses the same name for the pipeline and dataset?,8ca99429d0,holdout
What package do I need to install if my dotenv import isn’t working?,0bed1f48da,tuning
Which Python module should I import to load environment variables from a .env file?,0bed1f48da,tuning
Where can I find the documentation for the dotenv package mentioned in the lesson?,0bed1f48da,tuning
"Once I install the dotenv package, how do I use it in my Python code?",0bed1f48da,tuning
How can I add the dotenv library to my project with uv?,0bed1f48da,holdout
Can the homework content still change after I start working on it?,96286b4be4,tuning
When is a homework considered officially ready on the course platform?,96286b4be4,tuning
How can I tell if a homework is ready to do yet?,96286b4be4,tuning
Is it okay to begin a homework before the final version is posted?,96286b4be4,tuning
What does it mean when a homework title has [DRAFT] in it?,96286b4be4,holdout
Which version details do I need to record in the project setup so other people can run it reliably?,e5d8a2c761,tuning
"Should I include a sample .env file, and if so, what should it contain?",e5d8a2c761,tuning
"For the capstone project, what should I do instead of putting my API keys or service credentials in the repository?",e5d8a2c761,tuning
"When someone reviews my project, what do they need to be able to do to count it as reproducible?",e5d8a2c761,tuning
What kinds of model or service choices are recommended so reviewers don’t use up a lot of credits while testing the project?,e5d8a2c761,holdout
Where can I check the deadline for my assigned peer reviews?,785b277339,tuning
Does the peer review period start right after I submit the project form?,785b277339,tuning
What happens if I don’t complete the reviews before the window closes?,785b277339,tuning
How much time do students usually get to finish peer reviews after they’re assigned?,785b277339,tuning
"Is the peer review deadline fixed, or can it change depending on when reviews are opened?",785b277339,holdout
